"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Georgia",1.2367,8.8138,1.6025,0,25.6053,0.4006,0.2613,0.8361,2.3689,4.0759,0.2264,0.0871,0.1916,0,0.0523,1.4806,0.8361,0,6.6539,0.2961,41.1949,3.205,0.5748,23.3,"7.9",0.0316823687752355,0.000457604306864065,0.0257065948855989,0.00551816958277254,3715000,"%"
"Germany",3.2902,15.3684,4.162,0,12.4016,0.6187,0.5343,1.5607,5.0759,4.9072,0,0.0703,0.4781,0.0984,0.0984,1.7717,0.4218,0,6.482,0.7593,34.6316,6.1867,1.0827,25.7,"<2.5",0.253565426170468,0.0109891956782713,0.231582232893157,0.0109939975990396,83300000,"%"
"Ghana",0.3956,2.1263,0.0989,0,13.8784,0.0659,0.923,5.6865,0.7417,0.2308,0.0494,0.0824,1.6812,1.0219,0.5769,19.6143,0,0.0659,1.9779,0.0989,47.8655,2.4065,0.4121,9.7,"5.5",0.11911949280726,0.000585717503942329,0.107376178676021,0.011157596627297,31073000,"%"
"Greece",1.0285,11.4771,0.7006,0,14.4731,0.4919,0.5068,2.2954,4.1586,5.4255,0.164,0.1938,0.8794,0.6707,0.0596,1.5203,0.4919,0,4.2629,1.0434,38.5303,10.1654,1.4607,27.4,"<2.5",0.0435700934579439,0.00194392523364486,0.0128411214953271,0.028785046728972,10700000,"%"
"Grenada",1.9979,12.2581,0.7284,0,13.7565,0.7284,1.1446,3.5588,5.7648,3.8085,0.3538,0.0832,1.1863,1.3111,0.6452,1.1446,0.3122,0,7.9084,0.0416,37.7523,4.9116,0.6035,20.2,NA,0.0212389380530973,0,0.020353982300885,0.000884955752212389,113000,"%"
"Guatemala",0.5887,5.5534,0.3925,0,23.8619,0.9419,0.0981,1.3736,2.551,1.4914,0.0589,0.0785,1.0793,2.7473,0.0589,0.3532,0.1766,0,9.3995,0.2159,44.4662,3.748,0.7653,18.8,"15.2",0.283992029226171,0.0110428429093324,0.212642532934795,0.0603066533820436,18066000,"%"
"Guinea",0.0894,2.415,0.161,0,24.8479,0.1073,0.3399,2.5939,1.0376,0.6619,0.0716,0.1073,1.8784,0.7335,0,6.7979,0.0894,0,2.2182,0,47.585,6.6547,1.61,6.6,"16.5",0.0582563694267516,0.000366242038216561,0.0515923566878981,0.00629777070063694,12560000,"%"
"Guinea-Bissau",0.6881,3.8624,0.1554,0,28.6127,0.0666,0.0444,1.9534,2.5971,0.8657,0.1332,0.111,0.5771,0.3996,0,4.1065,0.0666,0,0.6881,1.1543,46.1487,7.5028,0.2664,8.2,"28",0.102802283341982,0.00140114167099118,0.0416709911779969,0.0597301504929943,1927000,"%"
"Guyana",0.5719,9.0121,0.208,0,21.2998,0.1213,0.8666,2.253,3.6915,4.1075,0.1906,0.0347,2.5303,1.1612,0.5546,1.3345,0.2773,0,5.5459,0.2253,40.9879,1.8371,3.1889,19.2,"8.1",0.0602287166454892,0.00266836086404066,0.0235069885641677,0.0340533672172808,787000,"%"
"Haiti",2.0559,3.7884,0.3234,0,21.5754,0.0462,0.2079,2.9568,2.079,1.0626,0.0924,0.0924,0.8085,3.8346,0,5.7057,0.2079,0,4.0425,0,46.2,4.5507,0.3696,20.5,"49.3",0.0654915373147417,0.00144698763483294,0.0403928790669122,0.0236516706129966,11403000,"%"
"Honduras",0.7052,6.7385,0.6464,0,23.3301,0.2938,0.0979,1.5475,2.8991,2.7032,0.1567,0.0784,0.1763,2.3898,0.0196,0.2938,0.2351,0,8.5406,0.0392,43.2517,5.4848,0.3722,19.4,"12.9",0.437925790754258,0.0139598540145985,0.0587388483373885,0.365227088402271,9864000,"%"
"Hungary",3.0432,16.0682,5.28,0,13.4206,0.8065,0.1978,1.0347,5.9038,3.8649,0.0152,0,0.1978,0.4108,0.1522,1.339,0.426,0,5.3408,0.0304,33.9318,7.4863,1.0499,28.6,"<2.5",0.046431862393775,0.00611241937135251,0.0346984744547968,0.00562096856762568,9767000,"%"
"Iceland",2.0403,22.2911,2.9915,0,10.7803,0.5928,2.2746,2.2195,7.5958,8.5746,0.4687,0.2619,0.4825,0.0965,0.1654,1.0753,0.9374,0,5.3212,0.2481,27.7089,3.019,0.8547,23.1,"<2.5",0.51820652173913,0.00271739130434783,0.495923913043478,0.0195652173913043,368000,"%"
"India",0.2582,5.5622,1.4899,0,27.652,0.2384,0.2582,1.4303,0.298,3.2578,0,0.0199,0.9734,3.1387,0.5959,1.1124,0.0199,0,3.5757,0.1986,44.4378,4.3504,1.1323,3.8,"14.5",0.128826155274623,0.00272373401899864,0.0847227340904221,0.0413796871652025,1400100000,"%"
"Indonesia",0.0346,3.372,0.121,0,31.9557,0.3977,1.4698,1.4179,0.9165,0.3631,0,0.1038,1.833,0.1729,0.2594,2.4728,0.1383,0,3.4584,0.0865,46.6367,4.0809,0.709,6.9,"8.3",0.0410154596874207,0.00192684892488748,0.0253828121837498,0.0137057985787833,271739000,"%"
"Iran (Islamic Republic of)",0,5.8494,1.3782,0,26.2179,0.4647,0.3686,2.8526,2.3077,1.2179,0,0.0962,0.1122,1.0897,0.1282,1.6346,0.0481,0,4.5513,1.2821,44.1506,4.4712,1.7788,25.5,"4.9",0.36772073677956,0.020427807486631,0.318600118835413,0.0286928104575163,84150000,"%"
"Iraq",0.0997,4.1476,0.9372,0,29.7308,0.7378,0.1196,1.5753,1.4756,0.8774,0.1196,0.0199,0.2991,0.6979,0.0399,0.339,0.2592,0,4.7059,0.1994,45.8225,7.2383,0.5583,27.4,"29",0.325112649465072,0.0122542479546885,0.23130522341095,0.0815531780994336,39725000,"%"
"Ireland",3.2284,14.0167,2.9997,0,14.4471,0.4977,0.7398,1.8832,5.0982,4.5601,0.0807,0.1211,0.3901,0.3228,0.0807,1.7487,0.7129,0,6.0533,0.3497,35.9833,5.4479,1.2376,26.9,"<2.5",0.522926244253448,0.0352388566859884,0.466999800119928,0.0206875874475315,5003000,"%"
"Israel",0.6267,11.5653,0.5127,0,15.297,0.5555,0.6409,2.6919,5.7257,4.0023,0.0997,0.1424,1.581,0.8688,0.0712,1.0255,0.4985,0,3.6177,0.6552,38.4133,9.8846,1.524,26.7,"<2.5",0.790093315972222,0.00581597222222222,0.495627170138889,0.288650173611111,9216000,"%"
"Italy",1.4624,12.5657,2.1014,0,16.2999,0.6389,0.7951,1.9878,5.0121,3.9188,0.1136,0.0994,0.213,0.6957,0.0142,0.9655,0.1562,0,4.4299,0.7099,37.4414,9.1722,1.2069,22.9,"<2.5",0.41142032638981,0.0583023749502455,0.33245986466764,0.0206580867719252,60296000,"%"
"Jamaica",1.3423,9.4685,1.5781,0,16.1255,0.127,0.8707,2.5757,3.8999,2.8297,0.2902,0.1451,1.0521,0.5079,0.8163,2.739,0.1633,0,9.269,0.0363,40.5405,4.5892,1.0339,24.4,"8",0.0318262726949092,0.000427198291206835,0.0264506941972232,0.00494838020647917,2809000,"%"
"Japan",2.4472,10.1594,0.5562,0.0185,19.6329,1.4461,2.3174,0.8713,3.6522,2.0393,0.0742,0.1298,2.0022,0.2595,0.2039,1.1123,0.4079,0.0927,4.4679,0.241,39.8406,6.7482,1.2792,4.4,"<2.5",0.0310525772622989,0.000804178872244318,0.0204402740400264,0.00980812435002818,125967000,"%"
"Jordan",0.0553,6.0796,0.5527,0,22.0892,0.2395,0.2211,1.308,2.8924,2.1002,0.1105,0.0737,0.9211,1.1238,0.0921,0.8106,0.3316,0,6.9823,0.35,43.9204,8.6035,1.1422,33.4,"12.2",0.0113587414551924,0.000103005899428785,0.0102912257702032,0.000964509785560446,10679000,"%"
"Kazakhstan",1.5175,14.1114,1.1264,0,14.6746,0.5163,0.1408,1.627,5.1001,6.9775,0.1408,0.2503,0.2972,0.0782,0.0313,2.9568,0.485,0,4.1302,0.3442,35.8886,7.7441,1.8617,21.3,"<2.5",0.49467221866325,0.00423339739483237,0.333712363869315,0.156726457399103,18732000,"%"
"Kenya",0.6828,5.9101,0.3532,0,26.3951,0.0942,0.1648,1.3892,1.8837,3.2494,0,0.1413,0.4003,3.5555,0.0235,3.8615,0.0706,0,3.6732,0.1413,44.1017,3.2964,0.6122,6,"29.4",0.0411989986549096,0.000689358840233149,0.015836571513974,0.0246730683007024,53528000,"%"
"Kiribati",0.1145,5.9555,0.2291,0,16.9993,0.1309,2.6014,1.8815,2.6832,0.2781,0.1145,0.0164,10.2912,0,0.0164,3.6649,0.0164,0,7.9188,0.2945,44.0609,2.1924,0.5399,45.6,"2.7",NA,NA,NA,NA,125000,"%"
"Korea, North",1.4282,3.1273,0,0,29.9926,0.4432,0.4186,1.6991,2.0438,0.1477,0.0246,0.0492,0.5171,2.4871,0,3.2012,0,0,0.8619,0.0492,46.9096,4.5802,2.0192,7.1,"47.8",NA,NA,NA,NA,25779000,"%"
"Korea, South",2.0481,9.3351,1.2318,0.4007,20.5847,0.6085,1.6325,1.1279,4.6453,0.653,0,0.1633,1.0834,0.1633,0.0594,0.564,0.1187,0,5.2983,0.4749,40.6649,6.6934,2.4488,4.9,"<2.5",0.0277881848554489,0.000581294297136015,0.0256464726444062,0.00156041791390665,51781000,"%"
"Kuwait",0,9.1727,0.5806,0,20.4209,1.016,0.3048,2.5109,4.1655,2.9753,0.3193,0.1306,0.4644,0.8273,0.3774,1.2337,0.6096,0,6.1393,0.4209,40.8418,5.762,1.7271,37,"2.8",1.44768706032829,0.00974205926241739,1.26226817309742,0.17567682796845,4691000,"%"
"Kyrgyzstan",0.7328,10.992,0.7507,0,22.8776,0.286,0.0536,0.8937,3.0742,6.5773,0.0894,0.2324,0.0179,0.9294,0.0536,3.092,0.6077,0,4.3968,0.3932,39.0349,2.4307,2.4844,15.4,"7.1",0.556854716408857,0.0213679102214134,0.413618441006976,0.121868365180467,6594000,"%"
"Lao People's Democratic Republic",1.1323,4.7916,0.6072,0,29.488,0.1149,0.7877,4.1516,2.9865,0.1477,0.1313,0.1313,1.1815,0.4102,0.3446,2.4614,0.4102,0.4431,1.5425,0.0164,45.2248,1.4605,2.0348,4.5,"16.5",0.000276166804750069,0,0.000262358464512566,1.38083402375035e-05,7242000,"%"
"Latvia",3.0614,15.4174,3.8504,0,14.7546,0.7417,0.8364,1.1835,4.8919,4.9235,0.1262,0.1578,0.284,0.0158,0.0316,3.5821,0.9626,0,4.0713,0.3787,34.5905,4.7972,1.3413,25.7,"<2.5",0.0653522607781283,0.00168243953732913,0.0553101997896951,0.0083596214511041,1902000,"%"
"Lebanon",0.3473,5.4012,0.6078,0,21.3268,0.1389,0.2779,2.0841,2.1362,2.1709,0.1563,0.0521,0.9899,1.042,0.0868,1.4415,0.3821,0,6.6342,1.0247,44.6162,7.5547,1.5283,31.3,"11",0.0715750915750916,0.000908424908424908,0.0263003663003663,0.0443663003663004,6825000,"%"
"Lesotho",0.767,3.7037,0.0877,0,34.6044,0.0657,0.0877,0.4602,2.3011,0.9424,0.0877,0.2192,0.1753,1.819,0.1753,2.3011,0.0438,0,2.7175,0,46.3073,2.7613,0.3726,13.5,"13.1",0.0335200746965453,0.000887021475256769,0.0080765639589169,0.0245564892623716,2142000,"%"
"Liberia",0.7505,2.7908,0.0938,0,25.2814,0.0938,0.258,1.6886,2.0872,0.1407,0.0938,0.1173,0.5394,0.1642,0,8.0675,0.0469,0.1642,1.4775,0.1173,47.1857,8.3724,0.469,8.6,"37.2",0.0238631870304468,0.00152234084618426,0.0133056544088573,0.0090351917754053,5058000,"%"
"Lithuania",3.3192,15.4409,2.6612,0,15.7187,0.8481,0.9651,1.1698,5.7757,5.0592,0.0439,0.1316,0.3071,1.2867,0.1608,1.3306,0.234,0,6.1705,0.3217,34.5518,3.5093,0.9943,28.4,"<2.5",0.0755189692197566,0.00286327845382964,0.058840372226199,0.013815318539728,2794000,"%"
"Luxembourg",5.1574,17.4063,2.3988,0,11.979,0.9595,0.8246,2.069,7.961,5.1574,0.2849,0.1049,0.2999,0.1049,0.1649,1.2294,2.009,0,4.048,0.075,32.5937,3.8681,1.3043,24.2,"<2.5",1.08465189873418,0.0185126582278481,0.821518987341772,0.244620253164557,632000,"%"
"Madagascar",0.289,3.5208,0.1839,0,31.2401,0.0525,0.2627,1.4714,1.8129,1.051,0.0263,0.1314,0.2102,0.762,0.0788,7.9874,0.0788,0.1051,2.207,0.0263,46.4792,1.7341,0.289,4.5,"44.4",0.0416308547903651,0.000411686107399516,0.030493662200715,0.0107255064822506,27691000,"%"
"Malawi",0.3588,4.0038,0.4344,0,23.3428,0.0755,0.3399,3.0784,2.9084,0.1322,0.0189,0.1322,1.3598,2.8706,0.0378,11.4259,0.0189,0,1.5297,0.0378,45.9868,1.322,0.5855,4.7,"17.5",0.0221170935703084,0.000642969158389963,0.0100313643491898,0.0114427600627287,19130000,"%"
"Malaysia",0.2063,8.7831,0.4297,0,21.5194,1.2204,1.7532,0.9969,4.0908,1.2375,0.2922,0.0344,0.636,0.4469,0.7219,0.6875,0.0172,0,7.0299,0.1375,41.2169,7.5284,1.0141,15.3,"2.5",0.0274518776120314,0.000381318446661176,0.0264299441749794,0.000640614990390775,32781000,"%"
"Maldives",0.3552,12.1226,0.9325,0,22.5577,0.9991,4.4183,2.1314,1.8872,3.8854,0.8215,0,0.3552,0.1776,0.6883,0.8215,0.6439,0.0444,5.373,1.421,37.8996,0.9325,1.532,7.9,"10.3",0.769685767097967,0.0033271719038817,0.488539741219963,0.277818853974122,541000,"%"
"Mali",0.6497,5.7446,0.2223,0,32.9116,0.0342,0.2394,0.8719,1.7439,3.2997,0.0513,0.171,0.8548,1.59,0.1197,1.4532,0.0171,0,1.7781,0.359,44.2811,2.5645,1.0429,7.1,"6.3",0.0125475285171103,0.00061231544121278,0.00959458792158412,0.00234062515431337,20251000,"%"
"Malta",1.9506,14.2031,2.0373,0,15.8937,0.6791,0.9392,1.5749,5.2883,5.2016,0.0867,0.0578,0.578,0.5202,0.0722,1.127,1.127,0,7.5278,0.4479,35.7896,2.8464,2.0517,31,"<2.5",0.164750957854406,0.00172413793103448,0.127586206896552,0.0354406130268199,522000,"%"
"Mauritania",0,7.3716,0.4046,0,26.6186,0.1583,0.3343,0.6334,2.1992,4.0816,0.1407,0.2111,0.1759,1.6538,0,0.3343,0.1056,0,6.3512,0,42.6284,6.0873,0.5102,11.3,"10.4",0.135978494623656,0.00337634408602151,0.11,0.0226021505376344,4650000,"%"
"Mauritius",0.8473,7.3381,0.4157,0,23.1974,0.3517,0.8153,0.9273,3.2294,2.462,0.3038,0.0639,0.5755,1.4069,0.2878,0.6235,0.3997,0,4.6203,0.0959,42.6539,8.4732,0.9113,11.5,"6.5",0.0271936758893281,0.000790513833992095,0.0262450592885376,0.000158102766798419,1265000,"%"
"Mexico",1.196,10.2729,0.9046,0,21.5118,1.0733,0.4293,1.6713,5.0445,2.5912,0,0.2453,0.4446,1.5486,0.23,0.506,0.0767,0,6.9917,0.23,39.7117,4.4772,0.8433,28.4,"3.6",0.343562977338175,0.0373622761988231,0.268034775259797,0.0381659258795543,127792000,"%"
"Mongolia",1.5398,20.3754,2.0038,0,18.7724,0.3375,0.0211,0.3375,10.5674,6.6231,0.1898,0.8015,0.0633,0.0844,0,1.2234,0.7804,0,2.9319,0.0422,29.6351,2.9319,0.7382,19.6,"13.4",0.00871764355846474,0,0.00684320142814639,0.00187444213031836,3361000,"%"
"Montenegro",1.4078,17.6268,1.3935,0,16.1184,0.6608,0.3591,2.3416,6.9674,8.1023,0.3448,0.1437,0.2729,0.6177,0.0431,0.7039,1.2355,0,4.7694,0.3591,32.3804,3.0599,1.0918,24.9,"<2.5",0.52379421221865,0.00819935691318328,0.232315112540193,0.283279742765273,622000,"%"
"Morocco",0.0888,4.8669,0.6361,0,29.4675,0.3402,0.6213,2.0562,2.0858,1.0651,0.0148,0.1183,0.1479,0.6509,0.2219,1.4053,0.0888,0,5.4142,0.429,45.1331,4.068,1.0799,25.6,"3.4",0.0710308188696039,0.00106252781486426,0.0512767022696929,0.0186915887850467,35952000,"%"
"Mozambique",0.3688,2.9074,0.1736,0,21.957,0.1519,0.4556,0.8679,1.3886,0.6943,0.0434,0.0651,0.2821,2.6036,0,14.1679,0.0434,0,2.148,0.1736,47.1035,3.9705,0.4339,6,"27.9",0.00624398382853109,4.17121221844318e-05,0.00209844060835526,0.0041038310979914,31166000,"%"
"Myanmar",0.1296,10.8663,0.8145,0,23.4358,0.3887,2.0548,1.3514,6.368,1.1107,0.0926,0.1481,1.7771,2.6287,0.3702,0.722,0.074,0,3.5542,0.4258,39.1151,3.3321,1.2403,5.7,"10.6",NA,NA,NA,NA,54704000,"%"
"Namibia",2.4054,6.5173,0.7607,0,18.7294,0.1028,0.4523,1.1308,2.8577,2.1998,0.2056,0.1645,0.2673,1.6036,0.2673,7.2368,0.2056,0,5.7155,0.0411,43.4622,5.222,0.4523,15,"27.3",0.0902794175521448,0.000432900432900433,0.00735930735930736,0.082487209759937,2541000,"%"
"Nepal",0.1395,3.767,0.6278,0,30.7115,0.1395,0.0872,1.4475,0.872,1.9358,0.0174,0.1046,0.1221,1.9881,0.9069,2.7206,0.0698,0.593,0.9069,0.1744,46.2156,4.918,1.5347,3.8,"8.7",0.0677823709827977,0.000190025336711562,0.0486831577543673,0.0189091878917189,29996000,"%"
"Netherlands",2.2164,16.5307,2.3549,0,11.4822,0.8465,0.7234,2.6936,5.7411,6.7877,0,0.0616,0.1847,0.2309,0.1693,2.2626,0.1231,0,6.5877,0.6772,33.477,5.5872,1.2621,23.1,"<2.5",0.317215320318315,0.035318028281903,0.00117936680597699,0.280717925230435,17467000,"%"
"New Caledonia",1.9087,13.343,1.4361,0,15.9607,0.6362,0.8544,1.6906,6.5261,3.7448,1.1089,0.1272,1.7633,0.2545,0.0909,1.2543,0.7635,0,4.272,0.1272,36.6661,6.4716,0.9998,NA,"7.1",NA,NA,NA,NA,295000,"%"
"New Zealand",1.6474,15.1117,4.562,0,14.4781,0.6336,0.6653,1.6632,6.8747,2.2968,0,0.095,0.8871,0.5227,0.1109,1.5524,0.1267,0,8.8706,0.5544,34.8804,3.3581,1.1088,32,"<2.5",0.0314216964106677,0.000441146982153599,0.0304391417685984,0.000541407659915781,4987000,"%"
"Nicaragua",0.6658,6.3344,0.5136,0,25.0904,0.3614,0.2283,1.2174,2.4729,2.6441,0.2663,0.1141,0.5707,2.3778,0,0.856,0.1141,0,7.8181,0,43.6751,4.1469,0.5326,21.8,"17",0.0556701030927835,0.00175864160097028,0.0377804730139478,0.0161309884778654,6596000,"%"
"Niger",0.0194,3.4122,0.4847,0,31.0585,0.0194,0.0775,0.8337,1.0857,1.6479,0.0194,0.1163,3.2571,6.3009,0.1357,0.6979,0.0194,0,0.6786,0,46.5878,1.8806,1.6673,4.7,"16.5",0.00474182479639506,0.000285253627682004,0.00426640208359172,0.000190169085121336,24189000,"%"
"Nigeria",1.2178,1.6237,0.1421,0,21.5953,0.1624,0.345,1.441,0.6901,0.2233,0.0203,0.0406,1.2381,1.9687,0.4059,12.259,0.0203,0,1.6034,0.1827,48.3864,5.3379,1.096,7.8,"13.4",0.0212675851363151,0.000430775201319492,0.00985155719413991,0.0109852527408557,206140000,"%"
"North Macedonia",0.9837,9.4365,2.1841,0,16.6889,0.3501,0.1834,2.1507,2.9843,3.5178,0.1334,0.1834,0.8003,0.7836,0.3334,1.8673,0.7669,0,6.3021,0.4335,40.5802,6.6022,2.7342,23.9,"3.2",0.531442307692308,0.0238942307692308,0.330865384615385,0.176682692307692,2080000,"%"
"Norway",1.7142,15.5904,2.5713,0,14.0092,0.665,1.5516,1.862,5.6746,5.0392,1.1822,0.0739,0.8867,0.8275,0.0591,1.4334,0.9901,0,4.1673,0.4286,34.4318,5.9997,0.8423,25,"<2.5",0.172043809170225,0.00473361796918507,0.162465193985521,0.00484499721551884,5387000,"%"
"Oman",0.0853,10.0478,0.5629,0,19.7544,0.5288,0.7847,6.8918,3.3095,4.7083,0.1024,0.1365,0.3241,0.6482,0.5118,0.8188,0.3753,0,4.5036,0.1876,39.9522,4.06,1.7059,22.9,"6.8",1.67958837258646,0.00893273923191173,1.30322512200297,0.367430511351581,4713000,"%"
"Pakistan",0,11.474,2.514,0,23.3348,0.2793,0.0645,0.6446,1.5471,6.9618,0.0215,0.1289,0.6446,1.3537,0.2793,0.7091,0.1289,0.2793,5.2213,0.1289,38.5045,5.2858,0.4942,7.8,"20.3",0.126595003168281,0.00270480673486014,0.112508825925591,0.0113813705078302,220940000,"%"
"Panama",1.8134,10.7042,2.3063,0,21.2852,0.3873,0.5986,2.3944,3.9613,3.257,0.3697,0.1937,0.6514,0.8803,0.0352,0.6866,0.3521,0,6.1972,0.1408,39.2958,4.0317,0.4577,22.5,"10",1.57490077048798,0.0343450852206397,0.958160168106467,0.582395517160869,4283000,"%"
